BldgType,CentralAir,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,EnclosedPorch,Fireplaces,FullBath,GarageArea,GarageCars,GarageYrBlt,GrLivArea,HalfBath,KitchenAbvGr,LotArea,LotFrontage,LowQualFinSF,MSSubClass,MasVnrArea,MiscVal,MoSold,OpenPorchSF,OverallCond,OverallQual,PoolArea,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,SalePrice
1Fam,Y,991,956,0,3,222,0,0,0,769,0,1,2,678,2,2004,1947,1,1,12552,100,0,60,0,0,5,136,5,7,0,0,8,991,0,2004,2005,2010,254900
1Fam,Y,1392,1070,168,4,57,0,1,0,1335,0,1,2,576,2,2006,2462,1,1,19378,134,0,60,456,0,3,132,5,7,0,0,9,1392,239,2005,2006,2006,320000
1Fam,Y,1232,0,0,3,660,0,0,0,572,0,0,2,516,2,1984,1232,0,1,11120,59.91111111,0,20,0,0,6,0,6,6,0,0,6,1232,0,1984,1984,2008,162500
1Fam,Y,1572,1096,0,3,1016,0,1,0,556,0,2,2,726,3,2003,2668,1,1,13688,110,0,60,664,0,3,0,5,9,0,0,10,1572,400,2003,2004,2008,412500
1Fam,Y,1541,0,0,3,1201,0,0,0,340,0,1,2,532,2,2005,1541,0,1,12182,95,0,20,226,0,5,70,5,7,0,0,7,1541,0,2005,2005,2010,220000
1Fam,Y,1149,467,0,3,370,0,0,0,779,183,0,2,216,1,1926,1616,0,1,5400,40,0,40,0,0,10,0,7,6,0,0,5,1149,0,1926,2004,2007,152000
1Fam,Y,1867,0,0,2,379,768,1,0,470,0,3,1,303,1,1955,1867,0,1,10708,103.4794666,0,20,0,0,11,0,5,5,0,142,7,1617,476,1955,1993,2009,190000
1Fam,Y,1610,551,0,3,1288,0,1,0,294,0,1,1,789,3,2007,2161,1,1,10562,86,0,60,300,0,11,120,5,8,0,0,8,1582,178,2007,2007,2007,325624
1Fam,Y,840,880,0,3,0,0,0,0,840,0,1,2,440,2,2004,1720,1,1,8244,62,0,60,0,0,5,48,5,7,0,0,7,840,100,2004,2004,2007,183500
1Fam,Y,1707,0,0,2,0,0,0,0,1686,0,1,2,511,2,1981,1707,1,1,16669,129.1084815,0,20,653,0,1,64,6,8,0,0,6,1686,574,1981,1981,2006,228000
1Fam,Y,854,0,0,2,360,0,0,0,360,0,0,1,660,2,1991,1382,1,1,12358,111.1665417,528,50,0,0,5,0,6,5,0,0,7,720,237,1941,1950,2007,128500
1Fam,Y,1656,0,0,3,639,0,1,0,441,0,2,1,528,2,1960,1656,0,1,31770,141,0,20,112,0,5,62,5,6,0,0,7,1080,210,1960,1960,2010,215000
TwnhsE,Y,1064,703,0,2,495,215,1,0,354,0,1,2,504,2,1987,1767,0,1,5306,44,0,160,0,0,6,35,7,7,0,0,5,1064,441,1987,1987,2006,239000
1Fam,Y,1362,0,0,3,288,374,1,0,700,0,1,1,504,2,1961,1362,1,1,10197,80,0,20,491,0,6,20,5,6,0,0,6,1362,0,1961,1961,2008,163000
1Fam,Y,1651,0,0,3,1398,208,1,0,0,0,1,2,616,2,1986,1651,0,1,12416,47,0,20,132,0,11,0,5,6,0,0,7,1606,192,1986,1986,2008,184000
1Fam,Y,2158,0,0,4,477,0,1,0,725,39,1,2,576,2,1950,2158,0,1,12615,84,0,20,0,0,6,29,7,6,0,0,7,1202,0,1950,2001,2007,243000
1Fam,Y,1164,896,0,4,831,0,0,1,320,0,1,2,521,2,1988,2060,1,1,10029,97,0,60,268,0,9,228,5,6,0,192,8,1151,0,1988,1989,2007,211000
1Fam,Y,1252,668,0,4,57,441,1,0,554,0,1,2,451,2,1958,1920,0,1,13650,116.8332145,0,50,0,0,7,0,5,5,0,0,8,1052,0,1958,1958,2006,172500
1Fam,Y,2234,0,0,1,1904,0,1,0,312,0,1,2,1166,3,2009,2234,0,1,17423,63,0,20,748,0,7,60,5,9,0,0,9,2216,0,2008,2009,2009,501837
1Fam,Y,968,0,0,2,0,0,0,0,968,184,0,1,480,2,1935,968,0,1,8520,60,0,30,0,0,7,0,6,5,0,0,5,968,0,1923,2006,2007,100000
Twnhs,Y,769,756,0,3,436,0,0,0,320,0,1,2,440,2,2000,1525,1,1,2117,46.01086828,0,160,456,0,6,0,5,6,0,0,5,756,0,2000,2000,2007,177000
1Fam,Y,901,901,0,4,352,0,0,0,441,40,1,1,216,1,1920,1802,1,1,7588,54,0,70,0,0,7,0,6,7,0,0,9,793,0,1920,1950,2006,200100
1Fam,Y,1340,0,180,3,0,0,0,0,0,0,1,1,252,1,1957,1340,0,1,9060,60,0,20,98,0,6,0,6,5,0,0,7,0,116,1957,2006,2007,120000
1Fam,Y,1362,720,0,3,0,0,0,0,1362,0,0,2,484,2,2003,2082,1,1,11426,63,0,50,0,0,6,238,5,7,0,0,6,1362,280,2003,2003,2008,200000
1Fam,Y,936,316,0,3,0,0,0,0,504,0,0,1,576,2,1986,1252,0,1,7438,92,0,50,0,0,6,0,8,5,0,0,5,504,104,1908,1991,2006,127000
1Fam,Y,1518,1518,0,4,0,0,0,0,1107,0,2,2,840,3,1993,3608,1,1,22950,90,572,75,0,0,6,260,9,10,0,410,12,1107,0,1892,1993,2006,475000
1Fam,Y,1217,0,0,3,611,0,1,0,577,0,0,2,497,2,1990,1217,0,1,9947,59.91111111,0,80,0,0,6,27,5,7,0,0,6,1188,168,1990,1991,2009,173000
1Fam,Y,808,704,140,3,0,0,0,0,660,0,0,2,180,1,1916,1656,1,1,10410,60,144,50,0,0,8,0,7,5,0,0,8,660,0,1916,1987,2009,135000
Duplex,Y,1224,0,0,2,1086,0,2,0,0,0,2,0,528,2,1979,1224,2,2,7018,64,0,90,275,0,6,0,5,5,0,0,6,1086,120,1979,1979,2009,153337
TwnhsE,Y,1593,0,0,0,1153,0,1,0,440,0,1,1,682,2,2001,1593,1,1,4923,41,0,120,0,0,8,120,5,8,0,224,5,1593,0,2001,2002,2008,286000
1Fam,Y,1549,1178,0,3,297,0,0,0,556,0,2,2,440,2,1932,2727,1,1,10570,70,0,70,0,0,12,74,8,8,0,0,10,853,0,1932,1994,2007,315000
1Fam,Y,725,754,0,4,626,0,1,0,99,0,0,1,484,2,1972,1479,1,1,7472,59.91111111,0,60,138,0,6,32,9,7,0,0,7,725,0,1972,2004,2007,184000
1Fam,Y,1431,0,0,3,560,0,1,0,871,0,0,2,666,2,1999,1431,0,1,9017,68,0,20,0,0,9,35,5,7,0,0,6,1431,0,1999,1999,2009,192000
Twnhs,Y,970,739,0,3,0,0,0,0,970,0,0,2,380,2,2004,1709,0,1,2522,24,0,160,50,0,5,40,5,7,0,0,7,970,0,2004,2004,2006,130000
1Fam,Y,864,0,0,3,390,0,0,0,474,0,0,1,352,1,1989,864,0,1,7180,60,0,20,0,0,5,0,7,5,0,0,5,864,0,1972,1972,2008,127000
Twnhs,Y,855,601,0,3,566,0,0,0,289,0,1,2,440,2,1976,1456,1,1,2280,24,0,160,0,0,7,0,6,6,0,0,7,855,87,1976,1976,2009,148500
1Fam,Y,1726,0,0,3,1126,0,1,0,600,0,1,2,786,3,2007,1726,0,1,9416,79,0,20,205,0,9,138,5,7,0,266,8,1726,171,2007,2007,2007,311872
1Fam,Y,1360,1360,0,4,1036,184,1,1,140,552,1,2,795,2,1918,3112,0,1,25419,174,392,75,0,0,3,16,4,8,512,0,8,1360,0,1918,1990,2006,235000
1Fam,Y,1713,0,0,3,1088,0,1,0,625,0,1,2,856,3,2004,1713,0,1,9591,76,0,20,262,0,1,26,5,8,0,170,7,1713,0,2004,2005,2009,274900
1Fam,Y,1121,0,0,2,0,0,0,0,1121,0,0,2,440,2,2003,1121,0,1,8546,80,0,20,0,0,3,64,5,4,0,0,5,1121,132,2003,2004,2010,140000
1Fam,Y,1279,0,0,3,641,279,0,1,276,0,2,2,473,2,1980,1279,0,1,10125,75,0,20,0,0,2,83,6,6,0,0,6,1196,238,1977,1977,2008,171500
1Fam,Y,865,445,0,2,617,0,0,0,0,126,0,2,398,1,1924,1310,0,1,7000,50,0,50,0,0,5,0,6,6,0,0,6,617,0,1924,1950,2006,112000
TwnhsE,Y,848,0,0,1,662,0,1,0,186,0,1,1,420,2,2004,848,0,1,4438,66.6183158,0,120,205,0,1,0,5,6,0,0,3,848,149,2004,2004,2008,149000
1Fam,Y,720,564,0,2,312,0,0,0,408,0,0,1,240,1,1948,1284,1,1,3500,50,0,50,0,0,4,35,7,5,0,0,5,720,0,1947,1950,2009,110000
1Fam,Y,1442,0,508,3,0,0,0,0,1424,0,0,2,500,2,1990,1442,0,1,11851,99,0,20,0,0,5,34,5,7,0,0,5,1424,0,1990,1990,2009,180500
1Fam,Y,1696,0,0,3,0,0,0,0,1140,0,1,1,349,1,1962,1696,1,1,13673,40,0,20,0,0,3,30,5,5,0,0,8,1140,0,1962,1962,2007,143900
1Fam,Y,1100,0,0,3,419,306,1,0,375,0,1,1,312,1,1960,1100,0,1,12493,111.7720895,0,20,0,0,4,0,5,4,0,0,6,1100,355,1960,1960,2008,141000
1Fam,Y,1180,882,0,3,1065,0,1,0,92,0,1,2,454,2,1988,2062,1,1,14364,119.8499061,0,60,128,0,4,55,5,7,0,154,7,1157,60,1988,1989,2007,277000
1Fam,Y,1092,0,0,3,787,0,1,0,305,0,0,1,504,2,1964,1092,0,1,8250,75,0,20,260,0,7,0,7,6,0,0,6,1092,0,1964,1964,2008,145000
1Fam,Y,1212,0,0,3,36,0,0,0,1176,0,0,2,460,2,2009,1212,0,1,10420,83,0,20,0,0,3,22,5,6,0,0,6,1212,100,2009,2009,2010,186000
1Fam,Y,932,920,0,3,822,0,1,0,78,0,1,2,644,2,2009,1852,1,1,8640,72,0,60,0,0,7,108,5,7,0,0,7,900,168,2009,2009,2009,252678
1Fam,Y,990,0,0,3,716,0,0,1,274,0,0,1,576,2,1996,990,0,1,13568,43,0,20,0,0,7,0,5,5,0,0,5,990,224,1995,1995,2006,156000
1Fam,Y,689,703,0,3,378,0,0,0,311,0,0,1,299,1,1977,1392,1,1,10900,104.4030651,0,60,153,450,3,36,7,6,0,0,6,689,0,1977,1977,2010,161750
1Fam,Y,1236,0,0,2,360,0,0,1,710,0,1,1,447,1,1957,1236,0,1,10011,72,0,20,64,0,5,0,6,5,0,0,6,1070,0,1957,1996,2006,134450
1Fam,Y,1436,0,0,3,946,0,1,0,490,0,0,2,484,2,2004,1436,0,1,8450,65,0,20,266,0,4,98,5,7,0,0,8,1436,139,2004,2004,2008,210000
1Fam,N,810,518,0,3,0,0,0,0,686,60,0,1,210,1,1940,1328,0,1,9906,57,0,70,0,0,9,172,4,4,0,0,8,686,0,1925,1950,2006,107000
1Fam,Y,1137,817,0,3,341,0,0,1,457,150,2,1,431,2,1939,1954,1,1,15660,125.1399217,0,50,312,0,5,119,9,7,0,0,8,798,0,1939,2006,2008,311500
TwnhsE,Y,1248,0,0,2,16,0,0,0,1232,0,0,2,438,2,2005,1248,0,1,3010,43,0,120,16,0,3,0,5,7,0,0,5,1248,108,2005,2006,2006,167240
1Fam,Y,1498,0,0,2,0,0,0,0,1498,0,0,2,675,2,2006,1498,0,1,8990,73,0,20,0,0,4,33,5,7,0,0,5,1498,351,2006,2006,2006,204900
1Fam,Y,1010,1257,0,4,0,0,0,0,1010,0,1,2,390,2,2002,2267,1,1,8068,89.82204629,0,60,0,0,12,46,5,6,0,0,8,1010,120,2002,2002,2009,200000
1Fam,Y,811,741,0,3,550,0,1,0,163,0,1,2,434,2,1975,1552,1,1,11475,85,0,60,0,0,2,208,6,6,0,0,6,713,209,1975,1975,2006,179900
1Fam,Y,864,0,0,2,524,180,0,0,160,0,0,1,576,2,1989,864,0,1,10500,70,0,20,0,0,3,0,6,4,0,0,4,864,216,1971,1971,2009,97000
1Fam,Y,2392,0,0,3,56,0,0,0,2336,0,1,2,968,3,2003,2392,0,1,13472,103,0,20,922,0,6,105,5,10,0,0,8,2392,248,2003,2003,2009,386250
Twnhs,Y,630,672,0,3,0,0,0,0,630,0,0,2,280,1,1991,1302,1,1,1680,21,0,160,142,0,5,0,5,5,0,0,6,630,0,1971,1971,2009,112000
1Fam,Y,1214,1306,0,4,565,0,0,0,638,0,1,2,721,3,1995,2520,1,1,9950,82,0,60,290,0,6,114,5,7,0,0,9,1203,224,1995,1995,2007,290000
Twnhs,Y,483,504,0,2,321,0,0,0,162,0,0,1,280,1,1987,987,1,1,1869,21,0,160,127,0,9,0,6,6,0,0,5,483,0,1970,1970,2008,106000
1Fam,Y,912,0,0,3,842,0,0,0,70,0,1,1,336,1,1974,912,0,1,8521,70,0,20,0,0,5,0,5,5,0,0,5,912,0,1967,1967,2010,125000
TwnhsE,Y,1555,0,0,2,16,0,0,0,1357,0,1,2,430,2,2005,1555,0,1,3182,43,0,120,16,0,5,20,5,7,0,0,7,1373,143,2005,2006,2009,192500
1Fam,Y,1194,0,0,3,0,0,1,0,1194,120,0,1,312,1,1959,1194,0,1,8760,73,0,20,220,0,4,0,6,6,0,0,6,1194,0,1959,1959,2010,148000
1Fam,Y,1490,1304,0,4,689,0,1,0,773,202,1,2,810,3,1995,2794,1,1,15138,174,0,60,506,0,7,146,5,8,0,0,9,1462,0,1995,1996,2009,403000
Twnhs,Y,483,504,0,2,0,0,0,0,483,0,1,1,288,1,1972,987,1,1,1680,21,0,160,297,0,6,0,5,6,0,0,5,483,0,1972,1972,2006,94500
1Fam,Y,894,0,0,3,182,712,1,0,0,0,0,1,308,1,1976,894,0,1,10650,75,0,20,0,0,2,0,6,5,0,0,5,894,365,1976,1976,2010,128200
1Fam,Y,860,1100,0,4,625,0,1,0,235,0,2,2,440,2,2002,1960,1,1,7851,88.60586888,0,60,0,0,5,48,5,6,0,0,8,860,288,2002,2002,2010,216500
TwnhsE,Y,483,504,0,2,358,0,0,0,125,0,0,1,264,1,1971,987,1,1,1680,21,0,160,604,0,8,0,3,6,0,0,5,483,0,1971,1971,2008,89500
1Fam,Y,1414,0,0,3,24,0,0,0,1390,0,0,2,494,2,2004,1414,0,1,8773,65,0,20,98,0,5,105,5,7,0,0,6,1414,132,2004,2004,2010,185500
1Fam,Y,1014,730,238,3,402,0,0,0,594,0,0,2,457,2,1993,1744,1,1,9453,59.91111111,0,60,0,0,2,70,7,7,0,0,7,996,370,1993,2003,2010,194500
1Fam,Y,1694,0,0,3,0,0,0,0,1694,0,0,2,818,3,2007,1694,0,1,12030,93,0,20,254,0,12,228,5,8,0,0,7,1694,168,2007,2007,2007,318000
1Fam,Y,798,689,0,3,94,0,0,0,641,0,1,1,220,1,1949,1487,1,1,8741,52,0,50,0,0,4,140,4,6,0,0,7,735,0,1945,1950,2010,113000
1Fam,Y,1566,0,0,3,1078,0,1,0,488,0,0,2,750,2,2008,1566,0,1,9000,75,0,20,36,0,4,168,5,8,0,0,7,1566,144,2008,2008,2010,262500
1Fam,N,889,551,0,3,0,0,0,0,540,77,0,1,352,1,1940,1440,0,1,5000,63,0,50,0,0,4,0,4,5,0,0,6,540,0,1900,1950,2006,79000
TwnhsE,Y,626,591,0,3,0,0,0,0,626,0,1,1,288,1,1980,1217,1,1,10762,75,0,160,0,0,4,28,6,6,0,0,6,626,0,1980,1980,2009,120000
1Fam,Y,1222,888,0,3,695,0,1,0,253,0,2,2,463,2,1994,2110,1,1,8880,94.23375192,0,60,0,0,5,130,5,7,0,0,8,948,0,1994,2002,2010,205000
1Fam,Y,1872,0,0,3,929,0,0,1,916,0,1,2,604,2,1988,1872,0,1,10400,80,0,20,102,0,6,39,5,7,0,0,6,1845,197,1988,1988,2006,241500
2fmCon,N,908,1020,0,4,0,0,0,0,1020,112,0,2,440,1,1910,1928,0,2,9142,69,0,190,0,0,4,60,8,6,0,0,9,1020,0,1910,1950,2006,137000
1Fam,Y,1375,0,0,2,0,0,0,0,1367,0,1,1,451,2,1954,1375,0,1,11310,75,0,20,0,0,6,30,5,6,0,0,5,1367,0,1954,1954,2006,140000
1Fam,Y,840,828,0,3,0,0,0,0,840,0,0,2,500,2,2003,1668,1,1,11317,72,0,60,101,0,9,68,5,7,0,0,8,840,144,2003,2003,2007,180000
1Fam,Y,1444,700,0,4,697,0,0,1,747,0,2,2,389,2,1958,2144,0,1,159000,59.91111111,0,50,472,500,6,98,7,6,0,0,7,1444,0,1958,2006,2007,277000
TwnhsE,Y,1625,0,0,2,1573,0,1,1,0,0,1,2,538,2,2006,1625,0,1,4750,44,0,120,481,0,12,0,5,8,0,153,5,1573,123,2006,2007,2007,235000
1Fam,Y,798,842,0,3,0,0,0,0,798,0,0,2,520,2,2004,1640,1,1,8366,65,0,60,0,0,12,45,5,6,0,0,6,798,138,2004,2004,2008,173000
1Fam,Y,1302,0,0,3,270,580,0,1,452,0,0,2,309,1,1964,1302,0,1,9350,85,0,80,108,0,10,0,7,6,0,0,7,1302,333,1964,1991,2007,158000
1Fam,Y,1314,0,0,3,922,0,1,0,392,0,0,1,294,1,1957,1314,0,1,8400,70,0,20,0,0,6,0,6,5,0,0,5,1314,250,1957,1957,2010,145000
1Fam,Y,1005,1286,0,4,0,0,0,0,975,0,1,2,429,2,1999,2291,1,1,8738,66,0,60,302,0,2,0,5,7,0,0,8,975,192,1999,1999,2006,230000
1Fam,Y,864,864,0,3,503,0,0,0,361,0,0,2,673,2,2003,1728,1,1,8791,64,0,60,0,0,5,56,5,6,0,0,7,864,216,2003,2003,2008,207500
1Fam,Y,1604,0,0,3,1334,0,1,0,270,0,1,2,660,2,2006,1604,1,1,8814,68,0,20,180,0,3,110,5,7,0,0,8,1604,123,2006,2006,2009,220000
1Fam,Y,963,829,245,3,361,0,0,0,602,0,1,2,564,2,2001,1792,1,1,12435,80,0,60,172,0,5,96,5,7,0,0,7,963,0,2001,2001,2008,231500
1Fam,Y,882,0,0,2,0,0,0,0,0,0,0,1,308,1,1956,882,0,1,12702,70,0,20,0,0,12,45,5,5,0,0,4,0,0,1956,1956,2008,97000
1Fam,Y,1382,0,0,3,672,690,1,0,0,252,1,1,884,2,1991,1382,0,1,19296,120,0,80,399,0,5,0,5,6,0,0,6,1362,0,1962,1962,2009,176000
1Fam,Y,1482,1092,0,3,0,0,0,0,1482,0,1,2,868,3,2007,2574,1,1,9588,69,0,60,270,0,11,148,5,8,0,0,10,1482,0,2007,2007,2007,276000
1Fam,Y,1212,0,0,3,506,0,1,0,0,0,1,1,492,2,1978,1212,0,1,8471,88,0,80,46,0,7,12,7,6,0,0,6,506,292,1977,1995,2006,151000
1Fam,Y,926,0,0,3,234,692,1,0,0,0,0,1,484,2,1974,1316,0,1,5500,50,390,50,0,0,4,0,7,5,0,0,6,926,0,1929,2001,2010,130000
1Fam,N,764,0,0,2,0,0,0,0,680,0,0,1,504,2,1965,764,0,1,5232,30,0,30,0,0,6,0,5,5,0,0,4,680,0,1925,2004,2008,73000
1Fam,Y,1422,0,0,3,588,228,0,0,606,0,1,2,576,2,1981,1422,0,1,12090,78,0,20,210,0,6,0,6,6,0,0,7,1422,276,1981,1981,2008,175500
1Fam,Y,802,709,0,3,714,0,1,0,88,0,1,2,413,2,1997,1511,1,1,11207,70,0,60,0,0,6,75,5,6,0,0,8,802,95,1997,1997,2006,185000
1Fam,Y,1052,720,0,4,378,0,0,0,342,0,1,2,240,1,1939,2192,1,1,8400,60,420,75,0,0,7,24,8,5,0,0,8,720,262,1939,1997,2008,179500
1Fam,Y,778,0,0,2,403,125,0,0,212,0,1,1,924,1,1966,778,0,1,6900,71,0,30,0,0,2,25,6,5,0,0,4,740,0,1940,1955,2008,120500
1Fam,Y,1113,0,0,3,751,0,1,0,392,0,1,1,504,1,1987,1113,1,1,7917,88.97752525,0,20,174,0,5,30,7,6,0,0,6,1143,370,1976,1976,2007,148000
1Fam,Y,1095,844,0,3,0,0,0,0,1095,0,1,2,1053,3,2006,1939,1,1,10728,84,0,60,0,0,8,51,5,8,0,0,8,1095,192,2006,2006,2006,266000
1Fam,Y,1363,0,0,2,226,1063,1,0,96,0,2,1,439,2,1954,1363,0,1,39104,73,0,20,0,0,4,0,7,7,0,0,5,1385,81,1954,2005,2008,241500
1Fam,Y,1164,1106,0,4,524,0,0,0,628,0,1,2,671,3,1999,2270,1,1,11764,92,0,60,348,0,4,57,7,8,0,0,9,1152,132,1999,2007,2010,290000
1Fam,Y,1632,0,0,3,620,620,1,0,0,0,1,2,338,1,1958,1632,0,1,9600,80,0,20,183,0,4,0,6,6,0,0,6,1240,289,1958,1988,2009,139000
1Fam,Y,816,0,0,2,546,0,0,0,270,0,0,1,264,1,1982,816,0,1,8314,76,0,20,0,0,6,0,7,5,0,0,5,816,168,1982,1982,2007,124500
1Fam,N,952,596,0,3,0,0,0,0,952,0,0,2,672,2,1978,1548,1,1,7264,55,0,50,0,0,10,0,7,7,0,144,5,952,74,1925,2007,2009,205000
1Fam,Y,1560,0,0,3,0,0,0,0,1560,0,0,2,573,2,2003,1560,0,1,9196,129,0,20,0,0,4,150,5,7,0,0,7,1560,100,2003,2003,2010,201000
1Fam,Y,864,0,0,2,120,0,0,0,744,0,0,1,400,2,1951,864,0,1,19138,140,0,20,0,0,6,0,5,4,0,0,4,864,0,1951,1951,2010,141000
1Fam,Y,2121,0,0,3,0,0,0,0,2121,0,1,2,732,3,2007,2121,1,1,14450,107,0,20,315,0,5,98,5,9,0,142,8,2121,124,2006,2007,2007,415298
1Fam,Y,1156,866,0,4,392,0,0,0,768,0,1,2,505,2,1977,2022,1,1,10005,83,0,60,299,0,3,117,5,7,0,0,8,1160,288,1977,1977,2008,192000
1Fam,Y,1175,807,196,3,421,0,0,0,386,0,1,2,575,2,1989,1982,1,1,11287,82,0,60,340,0,1,84,6,7,0,0,7,807,0,1989,1989,2007,228500
1Fam,Y,1262,0,0,2,905,0,0,0,357,0,0,2,572,2,2006,1262,0,1,7200,60,0,20,68,0,5,120,5,6,0,0,5,1262,0,2006,2006,2006,185000
Twnhs,Y,1314,0,0,2,904,0,1,0,410,0,1,2,626,2,2008,1314,0,1,5063,34,0,120,166,0,4,62,5,7,0,0,6,1314,172,2007,2008,2009,207500
1Fam,Y,1468,0,0,3,0,0,0,0,1468,0,1,2,898,3,2008,1468,0,1,9612,74,0,20,72,0,12,150,5,8,0,0,6,1468,210,2008,2009,2009,244600
TwnhsE,Y,1575,0,0,2,430,0,1,0,1145,52,0,2,529,2,1992,1575,0,1,8012,50,0,120,0,0,7,0,5,6,0,0,5,1575,0,1992,1992,2007,179200
TwnhsE,Y,625,625,0,2,0,0,0,0,625,0,0,2,528,2,2006,1250,1,1,4251,35,0,160,0,0,6,54,5,7,0,0,5,625,0,2006,2007,2007,164700
1Fam,Y,1085,649,0,3,600,0,0,0,312,0,1,1,440,2,1962,1734,1,1,9786,77,0,50,0,0,6,0,7,6,0,128,7,912,0,1962,1981,2006,159000
1Fam,Y,900,0,0,3,450,0,0,0,432,0,0,1,280,1,1970,900,0,1,9819,99.09086739,0,20,31,0,2,0,5,5,0,0,5,882,0,1967,1967,2010,122000
1Fam,Y,698,698,0,3,0,0,0,0,698,0,0,1,384,1,2003,1396,0,1,8730,60,0,70,0,0,7,0,7,6,0,259,7,698,0,1915,2003,2007,153575
1Fam,Y,1079,840,0,3,0,0,0,0,1079,0,1,2,685,2,2006,1919,1,1,15611,120,0,60,0,0,7,51,5,8,0,0,8,1079,0,2006,2006,2006,233230
1Fam,Y,1148,568,0,3,292,0,0,0,476,0,1,1,281,1,1949,1716,1,1,11409,60,0,50,0,0,1,0,4,5,0,160,8,768,0,1949,2008,2009,131000
1Fam,Y,1468,795,0,3,795,0,1,0,0,0,1,2,539,2,1977,2263,1,1,16659,129.0697486,0,60,34,0,3,250,7,7,0,0,9,795,0,1977,1994,2006,235000
1Fam,Y,1644,0,0,3,1285,0,1,0,131,0,2,1,418,2,1953,1644,0,1,9600,80,0,20,238,0,10,0,5,6,0,0,7,1416,110,1953,1953,2009,167000
1Fam,Y,1003,0,0,3,819,0,1,0,184,0,0,1,588,2,1984,1003,0,1,7937,37,0,80,0,0,3,0,6,6,0,0,6,1003,120,1984,1984,2006,142500
1Fam,Y,910,648,0,4,420,0,0,0,490,0,0,1,282,1,1950,1558,1,1,13710,75,0,50,0,0,6,0,5,5,0,0,6,910,289,1950,1950,2007,152000
1Fam,Y,975,975,0,3,649,0,0,0,326,0,1,2,576,2,1997,1950,1,1,7399,66,0,60,1600,0,6,10,5,7,0,198,7,975,0,1997,1998,2007,239000
1Fam,Y,1041,702,0,3,384,175,0,1,143,0,1,1,539,2,1968,1743,2,1,11700,90,0,60,365,0,6,0,6,6,0,0,7,702,224,1968,1968,2007,175000
1Fam,Y,1152,0,0,3,0,0,0,1,1092,0,1,1,300,1,1950,1152,0,1,14000,80,0,20,0,0,8,36,8,6,0,0,6,1092,0,1950,2004,2009,158500
2fmCon,Y,1336,0,0,2,841,0,1,0,324,0,2,1,375,1,1953,1336,0,1,15750,90,0,190,56,0,6,0,5,5,0,0,5,1165,0,1953,1953,2006,157000
1Fam,Y,1210,1242,0,4,281,0,0,0,747,0,1,2,683,2,1998,2452,1,1,16226,66,0,60,0,0,5,50,5,8,0,0,9,1028,208,1998,1999,2007,267000
1Fam,Y,1541,0,0,3,0,0,0,0,1541,0,1,2,843,3,2001,1541,0,1,13704,118,0,20,150,0,1,81,5,7,0,0,6,1541,468,2001,2002,2006,205000
1Fam,Y,894,0,0,3,894,0,1,0,0,0,0,1,552,2,1975,894,0,1,9800,70,0,20,0,0,7,0,7,5,0,0,5,894,256,1972,1972,2006,149900
1Fam,Y,1675,1818,0,3,0,0,0,0,1470,0,1,3,870,3,2003,3493,0,1,18386,87,0,75,0,0,5,0,9,7,0,0,10,1470,302,1880,2002,2008,295000
1Fam,Y,2000,0,0,3,1464,0,1,0,536,0,0,2,888,3,2004,2000,0,1,10386,80,0,20,246,0,7,0,5,8,0,0,8,2000,168,2004,2005,2007,305900
1Fam,Y,1122,1121,0,4,700,0,1,0,0,224,1,2,746,3,1990,2243,1,1,13474,116,0,60,246,0,6,44,5,7,0,0,8,700,127,1990,1991,2007,225000
1Fam,Y,861,0,0,1,262,0,0,0,599,0,0,1,539,2,1961,861,0,1,12342,111.0945543,0,30,0,0,3,0,5,4,0,0,4,861,158,1940,1950,2009,82500
1Fam,Y,1944,0,0,3,1274,0,1,0,622,0,3,2,708,3,2003,1944,0,1,12378,90,0,20,0,0,11,175,5,9,0,0,8,1896,208,2003,2004,2006,360000
1Fam,Y,697,804,0,3,518,0,0,0,179,0,1,2,420,2,1993,1501,1,1,7685,87.66413178,0,60,112,0,5,63,5,6,0,0,6,697,190,1993,1994,2006,165600
1Fam,Y,972,0,0,2,680,0,1,0,292,0,1,1,240,1,1948,972,0,1,8000,50,0,20,0,0,5,0,6,6,0,0,5,972,0,1948,2002,2009,132000
2fmCon,Y,793,325,0,3,507,0,1,0,286,0,1,1,410,2,1939,1118,0,1,7800,65,0,190,0,0,5,0,7,5,0,271,5,793,0,1939,1950,2006,119900
1Fam,Y,2036,0,0,3,1236,820,2,0,80,0,2,2,513,2,1965,2036,0,1,215245,150,0,20,0,0,6,0,5,7,0,0,8,2136,0,1965,1965,2009,375000
1Fam,Y,832,809,0,3,16,0,0,1,712,234,1,1,546,2,1925,1641,1,1,9600,60,0,70,0,0,8,0,7,7,0,0,6,728,0,1925,1990,2006,178000
1Fam,Y,716,716,0,3,425,0,1,0,291,0,1,2,432,2,2004,1432,1,1,7795,71,0,60,0,0,7,51,5,7,0,0,6,716,100,2004,2005,2009,188500
1Fam,Y,1153,1200,0,4,692,0,1,0,153,0,1,2,484,2,1983,2353,1,1,13005,94,0,60,278,0,8,195,7,7,0,0,10,845,288,1980,1980,2009,260000
